trip_id,arrival_time,departure_time,stop_id,stop_sequence
TRIP_WD_SERVICE_CMRL_BLUE_LINE_05_1000,05:34:00,05:35:00,MAS01,1
TRIP_WD_SERVICE_CMRL_BLUE_LINE_05_1001,05:10:00,05:11:00,MAS01,1
TRIP_WD_SERVICE_CMRL_BLUE_LINE_05_1002,05:15:00,05:16:00,MAS01,1
TRIP_WD_SERVICE_CMRL_GREEN_LINE_05_1003,05:14:00,05:15:00,MAS01,1
TRIP_WD_SERVICE_CMRL_GREEN_LINE_05_1004,05:57:00,05:58:00,MAS01,1
TRIP_WD_SERVICE_CMRL_GREEN_LINE_05_1005,05:20:00,05:21:00,MAS01,1
TRIP_WD_SERVICE_SR_SUBURBAN_NORTH_WEST_05_1006,05:21:00,05:22:00,MAS01,1
TRIP_WD_SERVICE_SR_SUBURBAN_NORTH_WEST_05_1007,05:14:00,05:15:00,MAS01,1
TRIP_WD_SERVICE_SR_SUBURBAN_NORTH_WEST_05_1008,05:20:00,05:21:00,MAS01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1009,05:40:00,05:41:00,MAS01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1010,05:34:00,05:35:00,MAS01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1011,05:30:00,05:31:00,MAS01,1
TRIP_WD_SERVICE_MTC_TRUNK_21G_05_1012,05:20:00,05:21:00,MTC_MRN01,1
TRIP_WD_SERVICE_MTC_TRUNK_21G_05_1013,05:48:00,05:49:00,MTC_MRN01,1
TRIP_WD_SERVICE_MTC_TRUNK_21G_05_1014,05:03:00,05:04:00,MTC_MRN01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1015,05:25:00,05:26:00,MTC_MRN01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1016,05:00:00,05:01:00,MTC_MRN01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1017,05:04:00,05:05:00,MTC_MRN01,1
TRIP_WD_SERVICE_SR_SUBURBAN_SOUTH_05_1018,05:34:00,05:35:00,MAM01,1
TRIP_WD_SERVICE_SR_SUBURBAN_SOUTH_05_1019,05:46:00,05:47:00,MAM01,1
TRIP_WD_SERVICE_SR_SUBURBAN_SOUTH_05_1020,05:49:00,05:50:00,MAM01,1
TRIP_WD_SERVICE_MTC_FEEDER_11G_05_1021,05:48:00,05:49:00,MAM01,1
TRIP_WD_SERVICE_MTC_FEEDER_11G_05_1022,05:44:00,05:45:00,MAM01,1
TRIP_WD_SERVICE_MTC_FEEDER_11G_05_1023,05:08:00,05:09:00,MAM01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1024,05:24:00,05:25:00,MAM01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1025,05:58:00,05:59:00,MAM01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1026,05:23:00,05:24:00,MAM01,1
TRIP_WD_SERVICE_MRTS_BEACH_VELACHERY_05_1027,05:30:00,05:31:00,MTC_MYL01,1
TRIP_WD_SERVICE_MRTS_BEACH_VELACHERY_05_1028,05:35:00,05:36:00,MTC_MYL01,1
TRIP_WD_SERVICE_MRTS_BEACH_VELACHERY_05_1029,05:18:00,05:19:00,MTC_MYL01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1030,05:00:00,05:01:00,MTC_MYL01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1031,05:47:00,05:48:00,MTC_MYL01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1032,05:37:00,05:38:00,MTC_MYL01,1
TRIP_WD_SERVICE_MTC_TRUNK_21G_05_1033,05:16:00,05:17:00,MTC_MYL01,1
TRIP_WD_SERVICE_MTC_TRUNK_21G_05_1034,05:24:00,05:25:00,MTC_MYL01,1
TRIP_WD_SERVICE_MTC_TRUNK_21G_05_1035,05:32:00,05:33:00,MTC_MYL01,1
TRIP_WD_SERVICE_SR_SUBURBAN_SOUTH_05_1036,05:47:00,05:48:00,MS01,1
TRIP_WD_SERVICE_SR_SUBURBAN_SOUTH_05_1037,05:59:00,05:00:00,MS01,1
TRIP_WD_SERVICE_SR_SUBURBAN_SOUTH_05_1038,05:09:00,05:10:00,MS01,1
TRIP_WD_SERVICE_CMRL_GREEN_LINE_05_1039,05:22:00,05:23:00,MS01,1
TRIP_WD_SERVICE_CMRL_GREEN_LINE_05_1040,05:01:00,05:02:00,MS01,1
TRIP_WD_SERVICE_CMRL_GREEN_LINE_05_1041,05:01:00,05:02:00,MS01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1042,05:41:00,05:42:00,MS01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1043,05:47:00,05:48:00,MS01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1044,05:18:00,05:19:00,MS01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1045,05:38:00,05:39:00,MTC_BNG01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1046,05:40:00,05:41:00,MTC_BNG01,1
TRIP_WD_SERVICE_MTC_TRUNK_29C_05_1047,05:21:00,05:22:00,MTC_BNG01,1
TRIP_WD_SERVICE_MTC_TRUNK_21G_05_1048,05:26:00,05:27:00,MTC_BNG01,1
TRIP_WD_SERVICE_MTC_TRUNK_21G_05_1049,05:04:00,05:05:00,MTC_BNG01,1
TRIP_WD_SERVICE_MTC_TRUNK_21G_05_1050,05:42:00,05:43:00,MTC_BNG01,1
TRIP_WD_SERVICE_CMRL_BLUE_LINE_05_1051,05:23:00,05:24:00,GDY01,1
TRIP_WD_SERVICE_CMRL_BLUE_LINE_05_1052,05:31:00,05:32:00,GDY01,1
TRIP_WD_SERVICE_CMRL_BLUE_LINE_05_1053,05:09:00,05:10:00,GDY01,1
