route_id,service_id,trip_id,trip_headsign,direction_id
MUNI_METRO_K_T,WD_SERVICE,T_1001,Inbound / Outbound MUNI_METRO_K_T,0
MUNI_METRO_N,WD_SERVICE,T_1002,Inbound / Outbound MUNI_METRO_N,1
MUNI_CABLE_CAR_PH,WD_SERVICE,T_1003,Inbound / Outbound MUNI_CABLE_CAR_PH,0
MUNI_CABLE_CAR_PM,WD_SERVICE,T_1004,Inbound / Outbound MUNI_CABLE_CAR_PM,1
BART_CORE,WD_SERVICE,T_1005,Inbound / Outbound BART_CORE,0
MUNI_METRO_K_T,WD_SERVICE,T_1006,Inbound / Outbound MUNI_METRO_K_T,1
MUNI_METRO_N,WD_SERVICE,T_1007,Inbound / Outbound MUNI_METRO_N,0
MUNI_CABLE_CAR_PH,WD_SERVICE,T_1008,Inbound / Outbound MUNI_CABLE_CAR_PH,1
MUNI_F_MARKET,WD_SERVICE,T_1009,Inbound / Outbound MUNI_F_MARKET,0
MUNI_CABLE_CAR_PH,WD_SERVICE,T_1010,Inbound / Outbound MUNI_CABLE_CAR_PH,1
MUNI_CABLE_CAR_PM,WD_SERVICE,T_1011,Inbound / Outbound MUNI_CABLE_CAR_PM,0
MUNI_F_MARKET,WD_SERVICE,T_1012,Inbound / Outbound MUNI_F_MARKET,1
MUNI_CABLE_CAR_PH,WD_SERVICE,T_1013,Inbound / Outbound MUNI_CABLE_CAR_PH,0
MUNI_CABLE_CAR_PM,WD_SERVICE,T_1014,Inbound / Outbound MUNI_CABLE_CAR_PM,1
MUNI_F_MARKET,WD_SERVICE,T_1015,Inbound / Outbound MUNI_F_MARKET,0
MUNI_CABLE_CAR_PH,WD_SERVICE,T_1016,Inbound / Outbound MUNI_CABLE_CAR_PH,1
MUNI_METRO_K_T,WD_SERVICE,T_1017,Inbound / Outbound MUNI_METRO_K_T,0
MUNI_METRO_N,WD_SERVICE,T_1018,Inbound / Outbound MUNI_METRO_N,1
MUNI_F_MARKET,WD_SERVICE,T_1019,Inbound / Outbound MUNI_F_MARKET,0
BART_CORE,WD_SERVICE,T_1020,Inbound / Outbound BART_CORE,1
MUNI_METRO_K_T,WD_SERVICE,T_1021,Inbound / Outbound MUNI_METRO_K_T,0
MUNI_METRO_N,WD_SERVICE,T_1022,Inbound / Outbound MUNI_METRO_N,1
MUNI_F_MARKET,WD_SERVICE,T_1023,Inbound / Outbound MUNI_F_MARKET,0
BART_CORE,WD_SERVICE,T_1024,Inbound / Outbound BART_CORE,1
MUNI_METRO_K_T,WD_SERVICE,T_1025,Inbound / Outbound MUNI_METRO_K_T,0
MUNI_METRO_N,WD_SERVICE,T_1026,Inbound / Outbound MUNI_METRO_N,1
MUNI_T_CENTRAL,WD_SERVICE,T_1027,Inbound / Outbound MUNI_T_CENTRAL,0
BART_CORE,WD_SERVICE,T_1028,Inbound / Outbound BART_CORE,1
MUNI_METRO_K_T,WD_SERVICE,T_1029,Inbound / Outbound MUNI_METRO_K_T,0
MUNI_METRO_N,WD_SERVICE,T_1030,Inbound / Outbound MUNI_METRO_N,1
MUNI_T_CENTRAL,WD_SERVICE,T_1031,Inbound / Outbound MUNI_T_CENTRAL,0
BART_CORE,WD_SERVICE,T_1032,Inbound / Outbound BART_CORE,1
MUNI_METRO_N,WD_SERVICE,T_1033,Inbound / Outbound MUNI_METRO_N,0
BART_CORE,WD_SERVICE,T_1034,Inbound / Outbound BART_CORE,1
MUNI_METRO_N,WD_SERVICE,T_1035,Inbound / Outbound MUNI_METRO_N,0
BART_CORE,WD_SERVICE,T_1036,Inbound / Outbound BART_CORE,1
MUNI_METRO_N,WD_SERVICE,T_1037,Inbound / Outbound MUNI_METRO_N,0
BART_CORE,WD_SERVICE,T_1038,Inbound / Outbound BART_CORE,1
MUNI_METRO_N,WD_SERVICE,T_1039,Inbound / Outbound MUNI_METRO_N,0
BART_CORE,WD_SERVICE,T_1040,Inbound / Outbound BART_CORE,1
MUNI_METRO_N,WD_SERVICE,T_1041,Inbound / Outbound MUNI_METRO_N,0
MUNI_BUS_44,WD_SERVICE,T_1042,Inbound / Outbound MUNI_BUS_44,1
MUNI_METRO_N,WD_SERVICE,T_1043,Inbound / Outbound MUNI_METRO_N,0
MUNI_BUS_44,WD_SERVICE,T_1044,Inbound / Outbound MUNI_BUS_44,1
MUNI_METRO_N,WD_SERVICE,T_1045,Inbound / Outbound MUNI_METRO_N,0
MUNI_BUS_44,WD_SERVICE,T_1046,Inbound / Outbound MUNI_BUS_44,1
MUNI_METRO_N,WD_SERVICE,T_1047,Inbound / Outbound MUNI_METRO_N,0
MUNI_BUS_44,WD_SERVICE,T_1048,Inbound / Outbound MUNI_BUS_44,1
MUNI_T_CENTRAL,WD_SERVICE,T_1049,Inbound / Outbound MUNI_T_CENTRAL,0
MUNI_CABLE_CAR_PM,WD_SERVICE,T_1050,Inbound / Outbound MUNI_CABLE_CAR_PM,1
MUNI_T_CENTRAL,WD_SERVICE,T_1051,Inbound / Outbound MUNI_T_CENTRAL,0
MUNI_CABLE_CAR_PM,WD_SERVICE,T_1052,Inbound / Outbound MUNI_CABLE_CAR_PM,1
MUNI_T_CENTRAL,WD_SERVICE,T_1053,Inbound / Outbound MUNI_T_CENTRAL,0
MUNI_CABLE_CAR_PM,WD_SERVICE,T_1054,Inbound / Outbound MUNI_CABLE_CAR_PM,1
